timestamp_utc,asin,category,rank,error
2026-07-23T12:44:59+00:00,B0DPVRRK77,,,No BSR found (page structure may have changed)
2026-07-23T12:46:42+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-07-24T11:05:55+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-07-25T10:37:15+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-07-26T10:47:13+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-07-27T12:29:04+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-07-28T11:22:37+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-07-29T11:29:23+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-07-30T11:11:27+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-07-31T11:31:54+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-08-01T10:43:44+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-08-02T10:44:03+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-08-03T12:29:48+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-08-04T11:28:37+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-08-05T11:24:05+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-08-06T11:27:20+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-08-07T10:04:22+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-08-08T09:42:16+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-08-09T09:44:40+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-08-10T10:21:06+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-08-11T10:03:01+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-08-12T10:11:27+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-08-13T10:12:06+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-08-14T10:07:52+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-08-15T09:30:14+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-08-16T09:31:32+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-08-17T09:47:41+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-08-18T09:37:48+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-08-19T09:38:19+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
2026-08-20T09:38:46+00:00,B0DPVRRK77,,,Blocked by Amazon bot-detection (CAPTCHA/robot check)
